2023-01-24,06:00,,CHANNEL NAME,monk,,,,,,
HOUR,DURATION,OFFSET,SEGMENT ID,ASSET ID,TYPE,MEDIA TYPE,TITLE,SUBTITLES,PARAMETERS,START TIME TYPE
06:00,24:00:00:00,,,show1,show-start,show,show1,,,fixed
,,,,REDCOMBAT-104_FEFRussiaSuperCup_pt1,media,primary,REDCOMBAT-104_FEFRussiaSuperCup_pt1,,,
,00:02:00:03,00:00:00:00,,Lbandnew,graphic,secondary,Lbandnew,,,
,,,,previewletter,media,primary,previewletter,,,
,00:02:00:01,00:00:00:00,,Aston,graphic,secondary,Aston,,,
,,,,REDCOMBAT-104_FEFRussiaSuperCup_pt2,media,primary,REDCOMBAT-104_FEFRussiaSuperCup_pt2,,,
,00:02:00:01,00:00:00:00,,Aston,graphic,secondary,Aston,,,
,,,,Ironman0001245UINEW2,media,primary,Ironman0001245UINEW2,,,
,00:02:00:01,00:00:00:00,,DOWNCOUNTER,graphic,secondary,DOWNCOUNTER,,,
,,,,iron_Ironman001080i60newtest1,media,primary,iron_Ironman001080i60newtest1,,,
,00:02:00:01,00:00:00:00,,HTML,graphic,secondary,HTML,,,
,,,,iron_Ironman001080i60newtest1,media,primary,iron_Ironman001080i60newtest1,,,
,00:03:04:12,00:00:00:00,,Aston,graphic,secondary,Aston,,,
,00:02:04:12,00:00:00:00,,Lbandnew,graphic,secondary,Lbandnew,,,
,,,,REDCOMBAT-104_FEFRussiaSuperCup_pt1,media,primary,REDCOMBAT-104_FEFRussiaSuperCup_pt1,,,
,00:03:04:12,,,previewletter,media,primary,previewletter,,,
,00:03:04:12,00:00:00:00,,Aston,graphic,secondary,Aston,,,
,00:03:04:12,,,previewletter,media,primary,previewletter,,,
,00:02:04:12,00:00:00:00,,Lbandnew,graphic,secondary,Lbandnew,,,
,00:03:04:12,,,previewletter,media,primary,previewletter,,,
,00:04:04:12,00:00:00:00,,Aston,graphic,secondary,Aston,,,
,,,,REDCOMBAT-104_FEFRussiaSuperCup_pt2,media,primary,REDCOMBAT-104_FEFRussiaSuperCup_pt2,,,
,00:04:04:12,00:00:10:00,,Aston,graphic,secondary,Aston,,,
,,,,Ironman0001245UINEW2,media,primary,Ironman0001245UINEW2,,,
,,,,iron_Ironman001080i60newtest1,media,primary,iron_Ironman001080i60newtest1,,,
,,,,Ironman21080i60,promo,primary,Ironman21080i60,,,
,,,,REDCOMBAT-104_FEFRussiaSuperCup_pt1,media,primary,REDCOMBAT-104_FEFRussiaSuperCup_pt1,,,
,,,,previewletter,media,primary,previewletter,,,
,,,,REDCOMBAT-104_FEFRussiaSuperCup_pt2,media,primary,REDCOMBAT-104_FEFRussiaSuperCup_pt2,,,
,,,,Ironman0001245UINEW2,media,primary,Ironman0001245UINEW2,,,
,,,,iron_Ironman001080i60newtest1,media,primary,iron_Ironman001080i60newtest1,,,
,,,,Ironman21080i60,promo,primary,Ironman21080i60,,,
,,,,,Show-end,,,,,
