2023-01-25,06:00:00,,CHANNEL NAME,utv,,,,,,,
HOUR,DURATION,OFFSET,SEGMENT ID,ASSET ID,TYPE,MEDIA TYPE,TITLE,SUBTITLES,PARAMETERS,START TIME TYPE,COMMENTS
12:07:00,03:00:00,,,show242hour,show-start,show,show242hour,,,fixed,
,00:01:00:00,00:00:00:00,1,Ironman2771080i60_1,media,primary,Ironman2771080i60_1,,,,
,00:01:00:00,00:01:00:00,2,Ironman2771080i60_1,media,primary,Ironman2771080i60_1,,,,
,00:01:04:12,00:02:00:00,3,Ironman2771080i60_1,media,primary,Ironman2771080i60_1,,,,
,00:01:04:12,00:00:00:00,,AUD_DIFFCODEC4TAACMP2AC3_123_hin,voiceover,secondary,AUD_DIFFCODEC4TAACMP2AC3_123_hin,,Transition=500&primary_level=20&vo_level=100&track_id=1,,
,00:00:30:01,,1,MT_OSCARS_TALENT_Generic_ADBREAK77,media,primary,MT_OSCARS_TALENT_Generic_ADBREAK77,,,,
,00:04:20.075,00:00:00:00,,AUD_Sariyaagi_kan,,secondary,AUD_Sariyaagi_kan,,,,
,00:01:00:01,,1,ABC77,media,primary,ABC77,,,,
,00:03:04:12,,1,Ironman2771080i60_1,media,primary,Ironman2771080i60_1,,,,
,00:04:59:29,,1,1previewletter77,media,primary,1previewletter77,,,,
,00:01:04:12,-00:01:00:00,,AUD_DIFFCODEC4TAACMP2AC3_123_hin,voiceover,secondary,AUD_DIFFCODEC4TAACMP2AC3_123_hin,,Transition=1000&primary_level=100&vo_level=20&track_id=1,,
,00:03:04:12,,1,Ironman2771080i60_1,media,primary,Ironman2771080i60_1,,,,
,,00:00:00:00,,AUD_Sariyaagi_kan,voiceover,secondary,AUD_Sariyaagi_kan,,,,
,00:04:59:29,,1,1previewletter77,media,primary,1previewletter77,,,,
,00:03:04:12,00:00:00:00,,AUD_DIFFCODEC4TAACMP2AC3_123_hin,DVE_CS,secondary,AUD_DIFFCODEC4TAACMP2AC3_123_hin,,Transition=1000&primary_level=100&vo_level=100&track_id=8,,
,01:35:10:23,,1,TheSoccerNanny-feature1,media,primary,TheSoccerNanny-feature1,,,,
,00:01:04:12,00:00:00:00,,AUD_DIFFCODEC4TAACMP2AC3_123_hin,voiceover,secondary,AUD_DIFFCODEC4TAACMP2AC3_123_hin,,Transition=100&primary_level=20&vo_level=100&track_id=1,,
,00:04:20.075,00:00:00:00,,AUD_Sariyaagi_kan,voiceover,secondary,AUD_Sariyaagi_kan,,,,
,,,,,Show-end,,,,,,
